schema,function_name,function_definition
public,auto_seed_field_configs_on_company_create,"CREATE OR REPLACE FUNCTION public.auto_seed_field_configs_on_company_create()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    PERFORM seed_account_field_configurations(NEW.id);
    RETURN NEW;
END;
$function$
"
public,create_notification,"CREATE OR REPLACE FUNCTION public.create_notification(p_user_id uuid DEFAULT NULL::uuid, p_company_id uuid DEFAULT NULL::uuid, p_title text DEFAULT NULL::text, p_message text DEFAULT NULL::text, p_type text DEFAULT 'info'::text, p_entity_type text DEFAULT NULL::text, p_entity_id uuid DEFAULT NULL::uuid)
 RETURNS uuid
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO 'public'
AS $function$
DECLARE
    notification_id UUID;
BEGIN
    INSERT INTO notifications (
        user_id,
        company_id,
        title,
        message,
        type,
        entity_type,
        entity_id
    ) VALUES (
        p_user_id,
        p_company_id,
        p_title,
        p_message,
        p_type,
        p_entity_type,
        p_entity_id
    ) RETURNING id INTO notification_id;
    
    RETURN notification_id;
END;
$function$
"
public,ensure_daily_stats,"CREATE OR REPLACE FUNCTION public.ensure_daily_stats()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    INSERT INTO jc_daily_stats (operator_id, stat_date)
    VALUES (NEW.operator_id, CURRENT_DATE)
    ON CONFLICT (operator_id, stat_date) DO NOTHING;
    RETURN NEW;
END;
$function$
"
public,generate_account_id,"CREATE OR REPLACE FUNCTION public.generate_account_id()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    IF NEW.account_id IS NULL OR NEW.account_id = '' THEN
        NEW.account_id := 'ACC-' || TO_CHAR(NOW(), 'YYYY') || '-' ||
                          LPAD(NEXTVAL('accounts_seq')::TEXT, 4, '0');
    END IF;
    RETURN NEW;
END;
$function$
"
public,generate_amc_number,"CREATE OR REPLACE FUNCTION public.generate_amc_number()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    IF NEW.amc_number IS NULL OR NEW.amc_number = '' THEN
        NEW.amc_number := 'AMC-' || TO_CHAR(NOW(), 'YYYY') || '-' || 
                         LPAD((
                             SELECT COALESCE(MAX(CAST(SUBSTRING(amc_number FROM 'AMC-\d{4}-(\d+)') AS INTEGER)), 0) + 1
                             FROM amc_contracts 
                             WHERE amc_number ~ '^AMC-\d{4}-\d+$'
                             AND EXTRACT(YEAR FROM created_at) = EXTRACT(YEAR FROM NOW())
                         )::TEXT, 4, '0');
    END IF;
    
    IF TG_OP = 'UPDATE' THEN
        NEW.updated_at := NOW();
    END IF;
    
    RETURN NEW;
END;
$function$
"
public,generate_contact_id,"CREATE OR REPLACE FUNCTION public.generate_contact_id()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
  next_id INTEGER;
  new_contact_id VARCHAR(50);
BEGIN
  -- Get the next sequence number for this company
  SELECT COALESCE(MAX(CAST(SUBSTRING(contact_id FROM 6) AS INTEGER)), 0) + 1
  INTO next_id
  FROM contacts
  WHERE company_id = NEW.company_id;

  -- Generate the contact ID (e.g., CONT-001)
  new_contact_id := 'CONT-' || LPAD(next_id::TEXT, 3, '0');

  NEW.contact_id := new_contact_id;
  RETURN NEW;
END;
$function$
"
public,generate_entry_number,"CREATE OR REPLACE FUNCTION public.generate_entry_number(p_entry_type character varying, p_company_id uuid)
 RETURNS character varying
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_prefix VARCHAR;
    v_year VARCHAR;
    v_next_number INTEGER;
    v_result VARCHAR;
BEGIN
    -- Set prefix based on entry type
    v_prefix := CASE
        WHEN p_entry_type = 'inward' THEN 'INW'
        WHEN p_entry_type = 'outward' THEN 'OUT'
        ELSE 'STK'
    END;

    -- Get current year
    v_year := TO_CHAR(CURRENT_DATE, 'YYYY');

    -- Get next number for this type and year (using table alias 'se')
    SELECT COALESCE(MAX(CAST(SPLIT_PART(se.entry_number, '-', 3) AS INTEGER)), 0) + 1
    INTO v_next_number
    FROM stock_entries se
    WHERE se.company_id = p_company_id
    AND se.entry_type = p_entry_type
    AND se.entry_number LIKE v_prefix || '-' || v_year || '-%';

    -- Format: INW-2025-001 or OUT-2025-001
    v_result := v_prefix || '-' || v_year || '-' || LPAD(v_next_number::TEXT, 3, '0');

    RETURN v_result;
END;
$function$
"
public,generate_installation_number,"CREATE OR REPLACE FUNCTION public.generate_installation_number()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
  BEGIN
      IF NEW.installation_number IS NULL OR NEW.installation_number = '' THEN
          NEW.installation_number := 'INST-' || TO_CHAR(NOW(), 'YYYY') || '-' || LPAD(NEXTVAL('installation_number_seq')::TEXT, 6, '0');
      END IF;
      RETURN NEW;
  END;
  $function$
"
public,get_deal_products,"CREATE OR REPLACE FUNCTION public.get_deal_products(deal_uuid uuid)
 RETURNS TABLE(id uuid, product_id uuid, product_name text, quantity integer, price_per_unit numeric, total_amount numeric, notes text)
 LANGUAGE plpgsql
AS $function$
BEGIN
    RETURN QUERY
    SELECT 
        dp.id,
        dp.product_id,
        dp.product_name,
        dp.quantity,
        dp.price_per_unit,
        dp.total_amount,
        dp.notes
    FROM deal_products dp
    WHERE dp.deal_id = deal_uuid
    ORDER BY dp.created_at;
END;
$function$
"
public,get_lead_products,"CREATE OR REPLACE FUNCTION public.get_lead_products(lead_uuid uuid)
 RETURNS TABLE(id uuid, product_id uuid, product_name text, quantity integer, price_per_unit numeric, total_amount numeric, notes text)
 LANGUAGE plpgsql
AS $function$
BEGIN
    RETURN QUERY
    SELECT 
        lp.id,
        lp.product_id,
        lp.product_name,
        lp.quantity,
        lp.price_per_unit,
        lp.total_amount,
        lp.notes
    FROM lead_products lp
    WHERE lp.lead_id = lead_uuid
    ORDER BY lp.created_at;
END;
$function$
"
public,get_next_assignee,"CREATE OR REPLACE FUNCTION public.get_next_assignee()
 RETURNS uuid
 LANGUAGE plpgsql
AS $function$
  DECLARE
      next_user_id UUID;
      last_user_id UUID;
  BEGIN
      -- Get the last assigned user
      SELECT last_assigned_user_id INTO last_user_id
      FROM flatrix_lead_rotation
      WHERE id = '00000000-0000-0000-0000-000000000001';

      -- Get the next active user in rotation (AGENT role only)
      -- Order by created_at to maintain consistent order
      SELECT id INTO next_user_id
      FROM flatrix_users
      WHERE is_active = true
        AND role = 'AGENT'
        AND (
          -- If we have a last_user_id, get the next one after it
          (last_user_id IS NOT NULL AND created_at > (SELECT created_at FROM flatrix_users WHERE id = last_user_id))
          -- Or if last_user_id is null, get the first one
          OR last_user_id IS NULL
        )
      ORDER BY created_at ASC
      LIMIT 1;

      -- If no user found (we've reached the end), loop back to the first user
      IF next_user_id IS NULL THEN
          SELECT id INTO next_user_id
          FROM flatrix_users
          WHERE is_active = true
            AND role = 'AGENT'
          ORDER BY created_at ASC
          LIMIT 1;
      END IF;

      -- Update the rotation tracker
      IF next_user_id IS NOT NULL THEN
          UPDATE flatrix_lead_rotation
          SET last_assigned_user_id = next_user_id,
              last_assignment_at = NOW(),
              total_assignments = total_assignments + 1,
              updated_at = NOW()
          WHERE id = '00000000-0000-0000-0000-000000000001';
      END IF;

      RETURN next_user_id;
  END;
  $function$
"
public,is_super_admin,"CREATE OR REPLACE FUNCTION public.is_super_admin()
 RETURNS boolean
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
  DECLARE
    is_super BOOLEAN := false;
  BEGIN
    SELECT users.is_super_admin INTO is_super
    FROM users
    WHERE users.id = auth.uid()
    LIMIT 1;

    RETURN COALESCE(is_super, false);
  EXCEPTION
    WHEN others THEN
      RETURN false;
  END;
  $function$
"
public,log_account_activity,"CREATE OR REPLACE FUNCTION public.log_account_activity()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    IF TG_OP = 'INSERT' THEN
        INSERT INTO account_activities(account_id, user_id, activity_type, description, new_value)
        VALUES (NEW.id, auth.uid(), 'created', 'Account created', to_jsonb(NEW));
    ELSIF TG_OP = 'UPDATE' THEN
        INSERT INTO account_activities(account_id, user_id, activity_type, description, old_value, new_value)
        VALUES (NEW.id, auth.uid(), 'updated', 'Account updated', to_jsonb(OLD), to_jsonb(NEW));
    END IF;
    RETURN NEW;
END;
$function$
"
public,log_conversion_status_change,"CREATE OR REPLACE FUNCTION public.log_conversion_status_change()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
  BEGIN
      -- Only log if conversion_status actually changed
      IF (OLD.conversion_status IS DISTINCT FROM NEW.conversion_status) THEN
          INSERT INTO flatrix_conversion_history (
              deal_id,
              lead_id,
              previous_status,
              new_status,
              changed_at,
              conversion_date,
              notes
          ) VALUES (
              NEW.id,
              NEW.lead_id,
              OLD.conversion_status,
              NEW.conversion_status,
              NOW(),
              NEW.conversion_date,
              CASE
                  WHEN NEW.conversion_status = 'BOOKED' THEN 'Customer booked the flat'
                  WHEN NEW.conversion_status = 'NOT_BOOKED' THEN 'Customer decided not to book'
                  WHEN NEW.conversion_status = 'CANCELLED' THEN 'Booking was cancelled'
                  WHEN NEW.conversion_status = 'PENDING' THEN 'Status reset to pending'
                  ELSE 'Status changed'
              END
          );
      END IF;

      RETURN NEW;
  END;
  $function$
"
public,process_stock_entry_approval,"CREATE OR REPLACE FUNCTION public.process_stock_entry_approval()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_item RECORD;
    v_quantity_change INTEGER;
    v_quantity_before INTEGER;
    v_quantity_after INTEGER;
BEGIN
    -- Only process when status changes to 'approved' or 'completed'
    IF NEW.status IN ('approved', 'completed') AND OLD.status NOT IN ('approved', 'completed') THEN

        -- Loop through all items in this stock entry
        FOR v_item IN
            SELECT * FROM stock_entry_items WHERE stock_entry_id = NEW.id
        LOOP
            -- Get current stock quantity
            SELECT stock_quantity INTO v_quantity_before
            FROM products
            WHERE id = v_item.product_id;

            -- Calculate quantity change based on entry type
            IF NEW.entry_type = 'inward' THEN
                v_quantity_change := v_item.quantity;
            ELSIF NEW.entry_type = 'outward' THEN
                v_quantity_change := -v_item.quantity;
            ELSE
                v_quantity_change := 0;
            END IF;

            -- Update product stock AND bin_location (for inward entries)
            IF NEW.entry_type = 'inward' AND v_item.bin_location IS NOT NULL THEN
                UPDATE products
                SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                    bin_location = v_item.bin_location,
                    updated_at = NOW()
                WHERE id = v_item.product_id
                RETURNING stock_quantity INTO v_quantity_after;
            ELSE
                UPDATE products
                SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                    updated_at = NOW()
                WHERE id = v_item.product_id
                RETURNING stock_quantity INTO v_quantity_after;
            END IF;

            -- Create transaction record
            INSERT INTO stock_transactions (
                company_id,
                product_id,
                stock_entry_id,
                stock_entry_item_id,
                transaction_type,
                transaction_date,
                quantity_change,
                quantity_before,
                quantity_after,
                unit_cost,
                value_change,
                reference_type,
                reference_number,
                performed_by,
                remarks
            ) VALUES (
                NEW.company_id,
                v_item.product_id,
                NEW.id,
                v_item.id,
                NEW.entry_type,
                NEW.entry_date,
                v_quantity_change,
                COALESCE(v_quantity_before, 0),
                COALESCE(v_quantity_after, 0),
                v_item.unit_price,
                v_item.total_price * (CASE WHEN NEW.entry_type = 'inward' THEN 1 ELSE -1 END),
                NEW.reference_type,
                NEW.reference_number,
                NEW.approved_by,
                NEW.remarks
            );

        END LOOP;

    END IF;

    RETURN NEW;
END;
$function$
"
public,reverse_product_stock,"CREATE OR REPLACE FUNCTION public.reverse_product_stock()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_quantity_change INTEGER;
    v_stock_entry RECORD;
BEGIN
    -- Get stock entry details
    SELECT * INTO v_stock_entry FROM stock_entries WHERE id = OLD.stock_entry_id;

    -- Only reverse if stock entry was approved/completed
    IF v_stock_entry.status NOT IN ('approved', 'completed') THEN
        RETURN OLD;
    END IF;

    -- Calculate reverse quantity change
    IF v_stock_entry.entry_type = 'inward' THEN
        v_quantity_change := -OLD.quantity;
    ELSIF v_stock_entry.entry_type = 'outward' THEN
        v_quantity_change := OLD.quantity;
    END IF;

    -- Update product stock
    UPDATE products
    SET stock_quantity = stock_quantity + v_quantity_change
    WHERE id = OLD.product_id;

    RETURN OLD;
END;
$function$
"
public,reverse_stock_entry,"CREATE OR REPLACE FUNCTION public.reverse_stock_entry()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_item RECORD;
    v_quantity_change INTEGER;
BEGIN
    -- Only reverse if entry was approved/completed
    IF OLD.status IN ('approved', 'completed') THEN

        -- Loop through all items and reverse the stock changes
        FOR v_item IN
            SELECT * FROM stock_entry_items WHERE stock_entry_id = OLD.id
        LOOP
            -- Calculate reverse quantity change
            IF OLD.entry_type = 'inward' THEN
                v_quantity_change := -v_item.quantity;
            ELSIF OLD.entry_type = 'outward' THEN
                v_quantity_change := v_item.quantity;
            ELSE
                v_quantity_change := 0;
            END IF;

            -- Update product stock (reverse the change)
            UPDATE products
            SET stock_quantity = COALESCE(stock_quantity, 0) + v_quantity_change,
                updated_at = NOW()
            WHERE id = v_item.product_id;

        END LOOP;

    END IF;

    RETURN OLD;
END;
$function$
"
public,seed_account_field_configurations,"CREATE OR REPLACE FUNCTION public.seed_account_field_configurations(target_company_id uuid)
 RETURNS void
 LANGUAGE plpgsql
AS $function$
BEGIN
    -- Delete existing configurations for this company (if reseeding)
    DELETE FROM account_field_configurations WHERE company_id = target_company_id;

    -- ==========================================
    -- MANDATORY FIELDS (9 fields - always enabled)
    -- ==========================================

    -- 1. Account ID (auto-generated)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder, help_text
    ) VALUES (
        target_company_id, 'account_id', 'Account ID', 'text', true, true,
        'basic_info', 1, 'Auto-generated', 'Unique system identifier'
    );

    -- 2. Account Name
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'account_name', 'Account Name', 'text', true, true,
        'basic_info', 2, 'Enter company name'
    );

    -- 3. Headquarters Address
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'headquarters_address', 'Headquarters Address', 'textarea', true, true,
        'addresses', 3, 'Enter HQ address'
    );

    -- 4. Main Phone
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, placeholder
    ) VALUES (
        target_company_id, 'main_phone', 'Main Phone', 'tel', true, true,
        'contact', 4, '+91 9876543210'
    );

    -- 5. Customer Segment
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'customer_segment', 'Customer Segment', 'select', true, true,
        'basic_info', 5,
        '[""Government"", ""Academic"", ""Healthcare_Public"", ""Healthcare_Private"", ""Pharma"", ""Biotech"", ""Manufacturing"", ""Research_Private""]'::jsonb,
        'Primary customer segment'
    );

    -- 6. Account Type
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'account_type', 'Account Type', 'select', true, true,
        'basic_info', 6,
        '[""Govt Industry"", ""Govt Institution"", ""Private Industry"", ""Private Institution""]'::jsonb,
        'Primary business role'
    );

    -- 7. Account Industry (cascading dropdown)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'acct_industry', 'Account Industry', 'select', true, true,
        'basic_info', 7,
        '[""Research"", ""Pharma Biopharma"", ""Chemicals Petrochemicals"", ""Healthcare Diagnostics"", ""Instrument Manufacturing"", ""Environmental Testing"", ""Education"", ""Forensics"", ""Testing Labs""]'::jsonb,
        'Primary industry'
    );

    -- 8. Account Sub-Industry (dependent on industry)
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, help_text
    ) VALUES (
        target_company_id, 'acct_sub_industry', 'Account Sub-Industry', 'select_dependent', true, true,
        'basic_info', 8,
        'Specific sub-category'
    );

    -- 9. Account Status
    INSERT INTO account_field_configurations (
        company_id, field_name, field_label, field_type, is_mandatory, is_enabled,
        field_section, display_order, field_options, help_text
    ) VALUES (
        target_company_id, 'account_status', 'Account Status', 'select', true, true,
        'basic_info', 9,
        '[""Active"", ""Inactive"", ""Prospect"", ""Customer"", ""Suspended""]'::jsonb,
        'Current status'
    );

